City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Avenal,US,94.84,clear sky,36.0041,-120.12899999999999,
10,Avarua,CK,78.85,few clouds,-21.2078,-159.775,
13,Awjilah,LY,87.76,clear sky,29.1081,21.2869,
16,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,
21,Bonavista,CA,75.2,broken clouds,48.6499,-53.1147,
27,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,
28,Atuona,PF,78.08,light rain,-9.8,-139.0333,
30,Hit,IQ,85.55,clear sky,33.6416,42.8251,
31,Hithadhoo,MV,81.86,light rain,-0.6,73.0833,
32,San Patricio,US,87.85,scattered clouds,28.017,-97.5169,
35,Sao Jose Da Coroa Grande,BR,75.9,clear sky,-8.8978,-35.1478,
38,Akividu,IN,83.35,overcast clouds,16.6,81.3833,
40,Picos,BR,78.55,few clouds,-7.0769,-41.4669,
41,Tevaitoa,PF,79.74,light rain,-16.7833,-151.5,
43,Gizo,SB,82.96,light rain,-8.103,156.8419,
48,Kysyl-Syr,RU,81.03,broken clouds,63.8986,122.7617,
51,Kavieng,PG,83.1,light rain,-2.5744,150.7967,
54,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,
59,Makakilo City,US,85.6,few clouds,21.3469,-158.0858,
61,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,
66,Kutum,SD,76.37,overcast clouds,14.2,24.6667,
67,Vaini,TO,77.16,broken clouds,-21.2,-175.2,
69,Buraydah,SA,91.85,clear sky,26.326,43.975,
71,Georgetown,MY,75.15,moderate rain,5.4112,100.3354,
72,Jalu,LY,87.76,clear sky,29.0331,21.5482,
74,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,
76,Hilo,US,82.26,broken clouds,19.7297,-155.09,
78,Bonfim,BR,78.37,scattered clouds,3.0833,-59.95,
82,Rikitea,PF,75.63,light rain,-23.1203,-134.9692,
85,Matamoros,MX,93.65,overcast clouds,25.5333,-103.25,
86,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,
88,Opatija,HR,77.68,clear sky,45.3392,14.3083,
94,Neokhorion,GR,77.22,scattered clouds,41.1833,23.25,
96,Campechuela,CU,82.87,moderate rain,20.2342,-77.2789,
98,Astoria,US,82.09,scattered clouds,46.1879,-123.8313,
99,Tosham,IN,93.36,scattered clouds,28.8833,75.9167,
104,Salinopolis,BR,79.48,clear sky,-0.6136,-47.3561,
105,Tecoanapa,MX,85.48,overcast clouds,16.5167,-98.75,
106,Faanui,PF,79.97,light rain,-16.4833,-151.75,
107,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,
111,Mizdah,LY,90.18,broken clouds,31.4451,12.9801,
115,Placido De Castro,BR,79.68,overcast clouds,-10.3353,-67.1856,
120,Port Blair,IN,82.31,overcast clouds,11.6667,92.75,
121,Dingle,PH,78.1,overcast clouds,10.9995,122.6711,
123,Nicoya,CR,80.15,light rain,10.1483,-85.45200000000001,
125,Araouane,ML,90.27,clear sky,18.9048,-3.5265,
129,Sosua,DO,82.53,scattered clouds,19.7667,-70.5167,
134,Jacareacanga,BR,82.08,broken clouds,-6.2222,-57.7528,
135,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,
140,Fortuna,US,79.2,clear sky,40.5982,-124.1573,
143,Pathein,MM,76.35,light rain,16.7833,94.7333,
144,Silver City,US,93.92,clear sky,32.7701,-108.2803,
152,Beaverlodge,CA,79.95,broken clouds,55.2166,-119.4361,
154,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,
169,Talang,PH,80.94,overcast clouds,15.0228,120.8375,
170,Arteaga,MX,75.07,broken clouds,18.4667,-102.4167,
171,Lingao,CN,83.39,light rain,19.9103,109.6859,
176,Kita,ML,78.3,overcast clouds,13.0349,-9.4895,
179,Turayf,SA,75.45,clear sky,31.6725,38.6637,
180,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,
181,Ammon,US,91.35,clear sky,43.4696,-111.9666,
185,Emilio Carranza,MX,86.72,overcast clouds,19.9711,-96.6114,
191,Houma,US,89.02,overcast clouds,29.5958,-90.7195,
196,Chokurdakh,RU,75.42,few clouds,70.6333,147.9167,
198,Mozarlandia,BR,80.37,scattered clouds,-14.7447,-50.5706,
201,Kitimat,CA,75.58,broken clouds,54.0524,-128.6534,
202,Conceicao Do Araguaia,BR,84.33,clear sky,-8.2578,-49.2647,
206,Bubaque,GW,79.81,broken clouds,11.2833,-15.8333,
207,Port Moresby,PG,80.02,haze,-9.4431,147.1797,
209,Vanimo,PG,80.17,few clouds,-2.6741,141.3028,
212,Dawei,MM,75.96,overcast clouds,14.0833,98.2,
213,Namatanai,PG,83.7,light rain,-3.6667,152.4333,
214,Celestun,MX,87.84,broken clouds,20.8667,-90.4,
216,Pasighat,IN,75.9,overcast clouds,28.0667,95.3333,
218,Butaritari,KI,83.08,scattered clouds,3.0707,172.7902,
219,Micoud,LC,82.38,broken clouds,13.8167,-60.9,
223,Rancho Palos Verdes,US,93.67,scattered clouds,33.7445,-118.387,
227,Morgan City,US,89.02,overcast clouds,29.6994,-91.2068,
236,Spirit River,CA,81.12,broken clouds,55.7833,-118.8361,
237,Mantua,IT,76.73,clear sky,45.1667,10.7833,
